ID TIME BLK ESTIMATE W B S1 S2 S3
224 76.15 3 0.258 33 96 901 895 856
224 77.155 3 0.252 33 99 269 279 224
224 78.156 3 0.246 33 102 247 271 219
224 79.166 3 0.241 33 105 260 266 213
224 80.166 3 0.236 33 108 259 267 215
224 81.167 3 0.231 33 111 248 259 211
224 82.169 3 0.226 33 114 246 252 205
224 83.17 3 0.222 33 117 252 259 209
224 84.172 3 0.218 33 120 258 265 214
224 85.173 3 0.213 33 123 257 264 216
224 86.175 3 0.209 33 126 266 275 224
224 87.176 3 0.206 33 129 269 276 224
224 88.178 3 0.202 33 132 525 580 593
224 89.2 3 0.216 36 132 964 965 954
224 90.207 3 0.23 39 132 964 965 956
224 91.22 3 0.243 42 132 876 859 799
224 92.225 3 0.239 42 135 266 274 223
224 93.238 3 0.235 42 138 267 276 221
224 94.24 3 0.231 42 141 271 273 224
224 95.242 3 0.227 42 144 266 282 340
224 96.243 3 0.239 45 144 852 965 955
224 97.255 3 0.251 48 144 965 965 955
224 98.255 3 0.263 51 144 955 956 902
224 99.256 3 0.274 54 144 962 959 847
224 100.259 3 0.275 55 146 870 499 227
224 101.26 3 0.285 58 146 965 964 760
224 102.261 3 0.296 61 146 962 965 956
224 103.271 3 0.306 64 146 955 960 932
224 104.272 3 0.306 65 148 805 635 402
224 105.274 3 0.302 65 151 272 281 225
224 106.277 3 0.298 65 154 245 252 204
224 107.279 3 0.294 65 157 250 260 212
224 108.279 3 0.29 65 160 267 275 223
224 109.338 3 0.286 65 163 271 278 222
224 110.341 4 0.282 65 166 268 275 224
224 111.368 4 0.279 65 169 267 273 222
224 112.389 4 0.275 65 172 265 273 221
224 113.393 4 0.272 65 175 266 273 222
224 114.41 4 0.268 65 178 260 267 216
224 115.422 4 0.265 65 181 247 254 207
224 116.444 4 0.262 65 184 263 267 216
224 117.463 4 0.259 65 187 258 270 221
224 118.491 4 0.256 65 190 255 265 218
224 119.504 4 0.253 65 193 245 270 221
224 120.504 4 0.25 65 196 260 268 219
224 121.509 4 0.247 65 199 263 270 219
224 122.535 4 0.244 65 202 571 351 219
224 123.554 5 0.242 65 205 268 271 223
224 124.576 5 0.239 65 208 269 275 223
224 125.6 5 0.236 65 211 621 596 526
224 126.603 5 0.245 68 211 949 956 922
224 127.62 5 0.253 71 211 964 965 955
224 128.643 5 0.26 74 211 963 965 956
224 129.644 5 0.268 77 211 963 965 956
224 130.649 5 0.276 80 211 940 954 908
224 131.648 5 0.283 83 211 889 896 871
224 132.649 5 0.28 83 214 275 273 223
224 133.65 5 0.277 83 217 264 272 222
224 134.651 5 0.275 83 220 264 272 220
224 135.653 5 0.272 83 223 266 274 222
224 136.654 5 0.269 83 226 264 270 219
224 137.658 5 0.267 83 229 263 271 221
224 138.659 5 0.264 83 232 265 272 222
224 139.66 5 0.262 83 235 263 273 223
224 140.661 5 0.259 83 238 268 277 223
224 141.662 5 0.257 83 241 263 270 220
224 142.664 5 0.255 83 244 250 272 530
224 143.667 5 0.255 84 246 458 694 906
224 144.667 5 0.253 84 249 671 428 281
224 145.669 5 0.251 84 252 267 276 224
224 146.671 5 0.249 84 255 269 276 224
224 147.672 5 0.255 87 255 929 849 746
224 148.678 5 0.262 90 255 952 959 930
224 149.679 5 0.268 93 255 963 963 854
224 150.687 5 0.266 93 258 423 322 225
224 151.688 5 0.263 93 261 267 273 222
224 152.704 5 0.261 93 264 482 275 222
224 153.708 5 0.265 95 265 963 870 630
224 154.709 5 0.271 98 265 964 965 955
224 155.715 5 0.277 101 265 963 965 956
224 156.716 5 0.282 104 265 965 965 950
224 157.723 5 0.288 107 265 950 953 891
